station	tmprg_max	tmprg_min	tmprg_diff	lat	lon	elev	state	name	gsn	hcn	wmo	rank_max	rank_min
USW00022551	6.8733333333	6.1539784946	0.7193548387	21.3167	-158.0667	16.5	HI	EWA KALAELOA AP			91178	0	0
USW00023136	9.2542857143	10.377419355	-1.123133641	34.2167	-119.0833	23.5	CA	CAMARILLO AP				0	1
USW00023174	7.7560215054	8.951827957	-1.195806452	33.9381	-118.3889	29.6	CA	LOS ANGELES INTL AP			72295	0	0
USW00023188	7.6038709677	10.064193548	-2.460322581	32.7336	-117.1831	4.6	CA	SAN DIEGO LINDBERGH FLD	GSN		72290	0	1
USW00023190	7.3842857143	11.112903226	-3.728617512	34.4258	-119.8425	2.7	CA	SANTA BARBARA MUNI AP			72392	0	1
USW00023191	10.719784946	7.7823655914	2.9374193548	33.405	-118.4158	488.3	CA	AVALON CATALINA AP			72292	1	0
USW00023230	7.6580645161	10.922580645	-3.264516129	37.7214	-122.2208	1.8	CA	OAKLAND METRO INTL AP			72493	0	1
USW00023233	8.2903225806	8.7096774194	-0.419354839	36.6636	-121.6081	22.6	CA	SALINAS MUNICIPAL AP			72593	0	0
USW00023234	9.1274193548	8.2619354839	0.865483871	37.6197	-122.3647	2.4	CA	SAN FRANCISCO INTL AP			72494	0	0
USW00023244	9.2290322581	9.964516129	-0.735483871	37.4058	-122.0481	11.9	CA	MOFFETT FEDERAL AIRFIELD			74509	0	1
USW00023259	6.6200460829	7.2682795699	-0.648233487	36.5881	-121.8453	50.3	CA	MONTEREY PENINSUL AP				0	0
USW00023272	7.325	5.7127956989	1.6122043011	37.7706	-122.4269	45.7	CA	SAN FRANCISCO DWTN				0	0
USW00023273	8.5483870968	9.135483871	-0.587096774	34.8994	-120.4486	73.8	CA	SANTA MARIA PUBLIC AP			72394	0	0
USW00024213	5.6838709677	8.5	-2.816129032	40.8097	-124.1603	6.1	CA	EUREKA WFO WOODLEY ISLAND	GSN		72594	0	0
USW00024283	5.6785714286	7.9483870968	-2.269815668	40.9781	-124.1086	61	CA	ARCATA EUREKA AP				0	0
USW00024284	8.4707142857	8.3064516129	0.1642626728	43.4133	-124.2436	5.2	OR	NORTH BEND RGNL AP				0	0
USW00024286	5.49	7.4419354839	-1.951935484	41.7803	-124.2367	17.1	CA	CRESCENT CITY MCNAMARA AP				0	0
USW00053006	9.7064516129	9.3967741935	0.3096774194	31.6922	-111.4481	1005.8	AZ	AMADO 23 W				1	0
USW00053121	8.6891397849	13.251612903	-4.562473118	33.2194	-117.3494	8.5	CA	OCEANSIDE MUNI AP				0	1
USW00053145	14.560371517	9.0507739938	5.5095975232	37.6172	-116.2642	1755.6	NV	TONOPAH TEST RNG #74 NELLIS AF				1	0
USW00053151	13.673763441	9.152688172	4.5210752688	33.4392	-117.1903	347.5	CA	FALLBROOK 5 NE			74502	1	0
