"","STATE","pop1990","pop1980","pop1970","pop1960","pop1950","pop1940","pop1930","pop1920","pop1910","pop1900","pop1890","pop1880","pop1870","pop1860","pop1850","pop1840","pop1830","pop1820","pop1810","pop1800","pop1790","STATEID","pop2000","pop2010","pop1890per","pop1880per","pop1870per","pop1860per","pop1850per","pop1840per","pop1830per","pop1820per","pop1810per","pop1800per","pop1790per","pop1900per","pop1910per","pop1920per","pop1930per","pop1940per","pop1950per","pop1960per","pop1970per","pop1980per","pop1990per","pop2000per","pop2010per"
"11","Georgia",6478216,5463105,4589575,3943116,3444578,3123723,2908506,2895832,2609121,2216331,1837353,1542180,1184109,1057286,906185,691392,516823,340989,251407,162686,82548,"13",8186453,9687653,0.0291737031858772,0.0307273222815685,0.0307095183040798,0.0336251377518297,0.0390733806958954,0.0405191171981263,0.0401862200057198,0.0353779802630152,0.0347252945179624,0.0306464200789566,0.0210087819090536,0.0290810648504318,0.0282897489730289,0.0273136202505723,0.023607500437653,0.0236351014771591,0.0227626620544899,0.0219888812475019,0.0225851655970231,0.0241147921498701,0.0260472812030265,0.0290896082553005,0.031377467226749
"12","Hawaii",1108229,964691,768561,632772,499794,422770,368300,255881,191874,154001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",1211537,1360301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00202068782507276,0.00208041991707205,0.00241348132879832,0.00298938438194303,0.00319881495622325,0.003302767978795,0.00352866828283628,0.0037820664127754,0.00425826026661584,0.00445591076314047,0.0043050557691838,0.0044058968716173
"13","Idaho",1006749,943935,712567,667191,588637,524873,445032,431866,325594,161772,88548,32610,14999,NA,NA,NA,NA,NA,NA,NA,NA,"16",1293953,1567582,0.00140597537310634,0.000649741262110746,0.000388994649177477,NA,NA,NA,NA,NA,NA,NA,NA,0.00212265317002923,0.00353029718710798,0.00407337992091173,0.00361219579219352,0.00397135937393327,0.00388986549405145,0.00372060666447602,0.00350652156114105,0.00416664082568203,0.00404788514366697,0.00459791143621918,0.00507726203965416
"14","Illinois",11430602,11426518,11113976,10081158,8712176,7897241,7630654,6485280,5638591,4821550,3826352,3077871,2539891,1711951,851470,476183,157445,55211,12282,2458,NA,"17",12419293,12830632,0.0607552590779712,0.0613253538225717,0.0658713253212902,0.0544456166064647,0.036714149385759,0.0279067660383044,0.0122423332723206,0.00572820140327499,0.00169643672320028,0.000463032470858435,NA,0.0632648319360237,0.0611371890960902,0.061169458428055,0.0619358074711136,0.0597530870773694,0.0575723116292438,0.0562178201451095,0.0546915538805533,0.0504380030343091,0.0459595827946887,0.0441305127114021,0.0415573034127541
"15","Indiana",5544159,5490224,5193669,4662498,3934224,3427796,3238503,2930390,2700876,2516462,2192404,1978301,1680637,1350428,988416,685866,343031,147178,24520,2632,NA,"18",6080485,6483802,0.0348112439795346,0.0394168595085848,0.043586825802366,0.0429480079410187,0.0426190619508314,0.0401952652564827,0.0266728052636629,0.0152698778528048,0.00338679599844252,0.000495810196623028,NA,0.0330191630291898,0.0292846150283097,0.0276395728916852,0.026285990467216,0.0259358164289856,0.0259983694254168,0.0260005322792216,0.0255578946680521,0.0242344986260063,0.0222916723535137,0.0216062959931769,0.0210004719161318
"16","Iowa",2776755,2913808,2824376,2757537,2621073,2538268,2470939,2404021,2224771,2231853,1912297,1624615,1194020,674913,192214,43112,NA,NA,NA,NA,NA,"19",2926324,3046355,0.0303636726754431,0.0323698068244112,0.0309665571712041,0.0214644311903313,0.00828798843181121,0.0025265843120048,NA,NA,NA,NA,NA,0.0292847331150585,0.0241223818720843,0.0226748363400919,0.0200558958874123,0.0192053590399103,0.0173207280889409,0.0153774714283304,0.0138986724627569,0.0128618934259233,0.011164635189211,0.0103983518610666,0.00986687943648922
"17","Kansas",2477574,2363679,2246578,2178611,1905299,1801028,1880999,1769257,1690949,1470495,1428108,996096,364399,107206,NA,NA,NA,NA,NA,NA,NA,"20",2688418,2853118,0.0226756637997035,0.0198468160755433,0.00945058078309377,0.0034094999061963,NA,NA,NA,NA,NA,NA,NA,0.0192947535621871,0.0183343443007029,0.0166877131766162,0.015267523847544,0.0136271620573287,0.0125907084263319,0.012149076660058,0.0110553452458297,0.010433558899932,0.00996170345034915,0.00955298057003423,0.00924100156550279
"18","Kentucky",3685296,3660777,3218706,3038156,2944806,2845627,2614589,2416630,2289905,2147174,1858635,1648690,1321011,1155684,982405,779828,687917,564317,406511,220955,73677,"21",4041769,4339367,0.0295116212403838,0.0328494916108361,0.0342600313690638,0.0367545145756073,0.0423598763636025,0.0457019203669994,0.0534898483768615,0.0585485035824732,0.0561488510653697,0.0416230022776752,0.0187510784599668,0.0281736375745143,0.0248286061175713,0.0227937650064439,0.0212218613136032,0.0215309369336346,0.0194600394573832,0.0169423500336752,0.0158391589674712,0.0161591030123025,0.0148176506044857,0.0143619558883948,0.0140548330774581
"19","Louisiana",4219973,4205900,3641306,3257022,2683516,2363880,2101593,1798509,1656388,1381625,1118588,939946,726915,708002,517762,352411,215739,153407,76556,NA,NA,"22",4468976,4533372,0.0177610694838085,0.0187280496889282,0.0188523265155574,0.0225167691415293,0.0223251452362025,0.0206530920388273,0.0167750562916394,0.0159161433894008,0.0105742069517441,NA,NA,0.0181286668029179,0.0179596119620123,0.0169636193823525,0.0170580214265566,0.0178858828647185,0.0177333675782103,0.0181628615487095,0.0179187613230928,0.0185653404617225,0.0169674526752704,0.0158799862580705,0.0146831984337859
"20","Maine",1227928,1124660,992048,969265,913774,847226,797423,768014,742371,694466,661086,648936,626915,628279,583169,501793,399455,298335,228705,151719,96540,"23",1274923,1328361,0.0104967998769637,0.0129297913421987,0.016258855956337,0.0199813181311223,0.0251454000530186,0.0294076433863848,0.0310601240896492,0.0309525812907943,0.0315896076192413,0.0285804814671159,0.0245697994560744,0.00911227194061715,0.0080492584417727,0.00724394327541205,0.00647245143090459,0.00641038673534357,0.00603845485751213,0.00540512959353971,0.00488183946448104,0.00496438236850159,0.00493719041061148,0.00453029054532805,0.00430244598385095
"21","Maryland",4781468,4216975,3922399,3100689,2343001,1821244,1631526,1449661,1295346,1188044,1042390,934943,780894,687049,583034,470019,447040,407350,380546,341548,319728,"24",5296486,5773552,0.0165511888373799,0.0186283669065197,0.020252255988719,0.0218503955100671,0.0251395790491463,0.0275455240244986,0.0347601553943167,0.0422630063143951,0.052562466151032,0.0643400383876147,0.0813719995907578,0.0155886393364377,0.014044965018187,0.0136732690453261,0.0132426237934673,0.0137801228709035,0.0154831564146121,0.017291066812753,0.0193020118317268,0.0186142268226949,0.0192250831956317,0.0188204467636574,0.0187000338123105
"22","Massachusetts",6016425,5737037,5689170,5148578,4690514,4316721,4249614,3852356,3366416,2805346,2238947,1783085,1457351,1231066,994514,737699,610408,523287,472040,422845,378787,"25",6349097,6547629,0.0355502591102037,0.0355272584590843,0.037795969129505,0.0391519076499585,0.0428819988516669,0.0432329448965863,0.0474630389538611,0.0542915963796265,0.0651999666845353,0.0796545830513162,0.096402741108018,0.0368096863482482,0.0365008229126928,0.0363355984925968,0.0344928854762054,0.0326617113244625,0.0309961292918475,0.0287111690945691,0.027996240732446,0.0253239604238092,0.0241905354517229,0.0225607774826171,0.0212072020292646
"23","Michigan",9295297,9262078,8875083,7823194,6371766,5256106,4842325,3668412,2810173,2420982,2093890,1636937,1184059,749113,397654,212267,28004,7452,4762,3757,NA,"26",9938444,9883640,0.0332470273071513,0.0326153177668132,0.0307082215688002,0.0238242328156113,0.017146262768911,0.0124399348709483,0.00217748611234441,0.000773153119074192,0.000657745617642058,0.000707735147687202,NA,0.0317663447128285,0.0304696826022187,0.0346006302474185,0.0393037489201529,0.0397694029479262,0.0421062772125609,0.0436262295712754,0.043674026297059,0.04088390866474,0.0373740571207642,0.0353151044325597,0.0320122521090491
"24","Minnesota",4375099,4075970,3804971,3413864,2982483,2792300,2563953,2387125,2075708,1751394,1310283,780773,439706,172023,6077,NA,NA,NA,NA,NA,NA,"27",4919479,5303925,0.0208048248385045,0.0155565910592454,0.0114036456571259,0.00547089157662449,0.000262031411344214,NA,NA,NA,NA,NA,NA,0.0229805035857266,0.0225061460397229,0.022515472493103,0.0208108635738148,0.0211274475536632,0.0197090188151527,0.0190374947354128,0.0187241520460763,0.0179918140616199,0.0175911754013883,0.0174807962532952,0.0171789527206058
"25","Mississippi",2573216,2520638,2216912,2178141,2178914,2183796,2009821,1790618,1797114,1551270,1289600,1131597,827922,791305,606526,375651,136621,75448,31306,7600,NA,"28",2844658,2967297,0.0204764177751947,0.0225466195332945,0.0214719133233092,0.0251660758098675,0.0261525199600067,0.0220150752316968,0.0106231370573706,0.00782781220181288,0.00432410422215503,0.00143167078052242,NA,0.0203546236868632,0.019485452739032,0.0168891911084066,0.016313134694274,0.0165233089058838,0.0143988270922583,0.0121464556937496,0.01090935971937,0.0111263945055173,0.0103462559365305,0.0101081612317699,0.00961081743633166
"26","Missouri",5117073,4916686,4676501,4319813,3954653,3784664,3629367,3404055,3293335,3106665,2679185,2168380,1721295,1182012,682044,383702,140455,66586,19783,NA,NA,"29",5595211,5988927,0.0425404089307032,0.0432041078790463,0.0446412790623338,0.0375918307102485,0.0294087464075782,0.0224869051235124,0.0109212545318288,0.00690837004652095,0.00273250347623117,NA,NA,0.040763372589007,0.0357084322398578,0.0321072028978414,0.0294585202990482,0.0286359954762157,0.0261333695395414,0.0240895411315353,0.0230129259244361,0.0217028340030397,0.0205744667000011,0.0198819312950002,0.0193976147438283
"27","Montana",799065,786690,694409,674767,591024,559456,537606,548889,376053,243329,142924,39159,20595,NA,NA,NA,NA,NA,NA,NA,NA,"30",902195,989415,0.00226936378264727,0.000780227478779353,0.000534125261671454,NA,NA,NA,NA,NA,NA,NA,NA,0.00319278412339615,0.00407740575103816,0.00517714622454492,0.00436359212608978,0.00423302556981062,0.00390563940723445,0.00376285441075868,0.00341716656924948,0.0034725427822422,0.00321283988593408,0.00320584496361133,0.00320462930868332
"28","Nebraska",1578385,1569825,1483493,1411330,1325510,1315834,1377963,1296372,1192214,1066300,1062656,452402,122993,28841,NA,NA,NA,NA,NA,NA,NA,"31",1711263,1826341,0.0168729747265177,0.00901392966763035,0.00318978724490202,0.000917237717987868,NA,NA,NA,NA,NA,NA,NA,0.013991204134227,0.0129267422944856,0.0122274401662372,0.0111845263945028,0.00995602686829025,0.00875931280402037,0.00787031570236251,0.00730022607039313,0.00692939337367117,0.00634629008073194,0.00608077396789431,0.00591535998165583
"29","Nevada",1201833,800493,488738,285278,160083,110247,91058,77407,81875,42335,47355,62266,42941,6857,NA,NA,NA,NA,NA,NA,NA,"32",1998257,2700551,0.00075190816047173,0.00124062525073866,0.00111366219283486,0.000218074929171763,NA,NA,NA,NA,NA,NA,NA,0.000555488724582668,0.000887740812774395,0.000730106374518981,0.000739091401170157,0.000834164563423954,0.00105786985507917,0.00159085963094285,0.0024050655373445,0.00353347085813397,0.00483226896263985,0.00710057375561944,0.00874685029456199
