station	mntmax14	mntmax13	tmax_diff	indicator	lat	lon	elev	state
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.0667	-86.2833	-999.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.4667	-85.95	249	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.4458	-86.0264	243.8	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.5833	-86.2	199.6	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	45.8981	-86.5483	199	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.1667	-85.3	310.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	45.0333	-84.7114	401.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.9072	-84.7189	447.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.2833	-85.95	217	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.9333	-85.9167	192	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.9167	-85.9667	184.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	41.8686	-86.4942	205.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.5358	-83.7022	272.5	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.5519	-83.8625	295.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.5617	-83.8031	245.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.055	-86.0331	232	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	45.8806	-87.0911	225.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	45.8433	-87.0392	214.6	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.9164	-83.5097	277.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.0622	-86.2244	189	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.0608	-86.2047	184.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.4	-86.0667	207.3	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.7631	-84.7622	243.8	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.9667	-85.6833	178.6	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.95	-85.6667	189	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.9667	-85.6667	206	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.3406	-85.7236	246.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	41.9667	-83.5167	190.5	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.2333	-84.2	301.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.6542	-84.6994	346.3	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.8333	-89.4333	189.6	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.4533	-87.3039	205.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.8736	-89.1006	241.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.2025	-85.2422	268.8	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.2167	-85.25	264.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.4078	-82.8892	186.8	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.4333	-82.8833	177.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.3833	-85.3828	277.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.2864	-87.4511	354.2	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.2642	-87.515	359.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.1167	-86.5167	198.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.3128	-83.8272	256.6	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.3111	-83.8408	249	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.4633	-83.7217	221.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.4747	-85.5925	258.2	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.45	-83.8	271.3	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.15	-84.2167	344.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	41.85	-86.6667	-999.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.8322	-82.6428	182.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.8322	-82.6428	181.4	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.0333	-84.8	352.3	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.65	-83.3	198.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.65	-83.3	198.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.6819	-83.2808	178.3	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.6747	-86.4239	234.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.4908	-87.355	194.8	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.2	-86.1667	-999.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.6422	-85.2875	249.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.6158	-85.2364	239.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.9	-83.2167	189	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.4344	-83.9858	271.3	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.665	-88.375	509	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	45.7167	-87.5833	262.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.5908	-86.1056	237.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.5167	-84.75	363	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.6167	-83.6	253	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	45.0592	-83.9011	246.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	41.9353	-84.6411	329.2	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.7989	-86.205	188.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.8231	-86.1572	190.5	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.73	-84.3703	199.6	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	47.1167	-88.5667	-999.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	47.1167	-88.55	259.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.6353	-85.7611	214.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.3122	-84.7747	353.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.3119	-84.8922	345.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.4167	-85.4833	264	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.5939	-83.9325	279.5	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.7	-83.8833	281	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	44.85	-83.6	225.9	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	43.1	-84.8333	235	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	41.8483	-84.2939	266.7	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	42.8589	-85.8864	193.5	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.3333	-85.15	262.1	MI
USC00203	-5.942658228	-0.254278729	-5.688379499	1	46.4833	-87.8667	468.2	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.8833	-87.8667	189	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.6333	-85.7667	-999.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43	-85.0833	244.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.9531	-85.0778	245.4	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	45.7858	-88.0842	326.4	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	45.9414	-88.0353	365.8	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.0667	-88.6333	458.4	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.4656	-90.1892	435.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.4833	-87.65	438.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.4911	-87.6894	440.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.5833	-85.1167	304.8	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.2883	-84.4236	289.6	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	47.0083	-88.4317	198.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.1333	-82.5667	203.3	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.3	-85.6167	274.3	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.2833	-85.6	289.6	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.7281	-85.1728	315.5	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.5897	-85.0486	330.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	47.2753	-88.4169	341.4	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.1994	-85.7717	256	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.4864	-88.8917	355.7	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.9833	-85.35	221	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.9833	-82.9	217.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.5694	-85.5722	330.7	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.3075	-84.5086	215.8	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.3342	-87.3778	340.2	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.3089	-85.205	374.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	45.0167	-85.7167	235	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	46.7333	-88.45	235	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.75	-84.55	245.7	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.0608	-83.3075	249.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.0581	-83.3606	255.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.0333	-83.2833	253	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.0081	-83.375	271.3	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	47.2375	-88.4417	367.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.9833	-84.3333	-999.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.6847	-83.4122	239.3	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.8133	-83.8039	263	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.7533	-84.0936	268.2	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.2631	-82.5328	189.6	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.4833	-83.8	225.6	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.925	-85.3428	231.6	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	42.9292	-85.3403	195.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.9067	-86.3942	210.3	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	43.9636	-86.4164	195.1	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.3833	-84.05	278	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.42	-84.0233	276.8	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	44.0333	-85.6833	313.9	MI
USC00204	-7.734059946	-1.365484634	-6.368575312	1	45.85	-84.6167	253	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	45.7833	-84.7333	180.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.85	-84.0833	231.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.9	-85.0833	338.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.1508	-84.0236	294.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.2114	-86.2939	204.2	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	45.9511	-86.2514	182.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.4108	-85.3989	341.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.855	-85.8353	243.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.1167	-84.7	200.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.7194	-82.4922	178	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.8647	-85.8417	253	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.3308	-83.0664	249.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.4167	-85.15	301.8	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.2667	-84.9667	267.3	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.7667	-89.0833	323.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.3833	-83.2167	275.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.35	-85.05	-999.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.6447	-83.9375	276.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.3389	-85.6872	238	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.3022	-85.6889	251.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.6667	-86.4167	244.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	45.1167	-87.6	177.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	45.1111	-87.6117	180.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.4156	-83.2894	203.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.5333	-88.1167	479.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.5453	-88.18	521.2	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.6089	-84.2011	195.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.595	-84.2361	196.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.0664	-83.6186	204.2	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.0811	-83.6769	207.3	MI
