                                                           The SAS System                        14:47 Tuesday, December 1, 2015   1

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff
                                          106    ASN00088    19.3871    10.5636     8.82350
                                          107    ASN00089    17.9825     9.6500     8.33243
                                          108    ASN00090    13.1442     7.4029     5.74129
                                          109    ASN00091    10.2132     7.6628     2.55035
                                          110    ASN00092     9.1778     7.6003     1.57750
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   3

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                          111    ASN00093    13.9250    10.2326      3.6924
                                          112    ASN00094     9.6896     6.9505      2.7391
                                          113    ASN00095    13.6681     8.4549      5.2133
                                          114    ASN00096    12.9842     6.9094      6.0748
                                          115    ASN00097    10.0137     6.2037      3.8100
                                          116    ASN00098     8.3032     5.7067      2.5965
                                          117    ASN00099     9.5515     8.7798      0.7717
                                          118    AU000005    22.0583    17.3121      4.7461
                                          119    AU000006    18.6390    14.6235      4.0155
                                          120    AU000011    18.0794    15.9211      2.1584
                                          121    AU000015    12.7467    12.1769      0.5697
                                          122    AU000016    21.0031    18.6883      2.3148
                                          123    AUM00011    18.2118    14.5106      3.7012
                                          124    AYM00088     7.7500    15.8033     -8.0533
                                          125    AYM00089    13.6290    15.6178     -1.9888
                                          126    AYW00090    29.8471    34.7354     -4.8883
                                          127    BA000041    19.7952    18.7287      1.0665
                                          128    BB000078     2.5429     1.9874      0.5554
                                          129    BC000068     9.0685    12.6200     -3.5515
                                          130    BC004612    15.2733    19.0335     -3.7602
                                          131    BC008382     9.3830    13.6406     -4.2577
                                          132    BC008948     8.2200    17.1486     -8.9286
                                          133    BC012192    10.2405    11.1444     -0.9040
                                          134    BCM00068     7.4778    13.3222     -5.8444
                                          135    BDM00078     8.0315     8.4000     -0.3685
                                          136    BE000006    17.5753    12.7842      4.7910
                                          137    BF000078     6.1339     6.6280     -0.4941
                                          138    BGM00041    10.9897    13.7074     -2.7177
                                          139    BHM00078     5.5424     6.9419     -1.3995
                                          140    BKM00014    17.7900    13.6906      4.0994
                                          141    BL000085     5.1996     4.8401      0.3596
                                          142    BLM00085     6.9833     7.2014     -0.2181
                                          143    BMM00048     6.1902     9.5009     -3.3107
                                          144    BN000005     6.6236     6.2417      0.3819
                                          145    BN000065     8.5788     5.3875      3.1913
                                          146    BNM00065     8.0543     2.5968      5.4575
                                          147    BOM00026    33.0183    25.9354      7.0829
                                          148    BOM00033    31.9682    23.8361      8.1321
                                          149    BP000091     1.8086     1.2335      0.5751
                                          150    BPW00080     1.6357     2.1444     -0.5087
                                          151    BR000047      .         3.7333       .    
                                          152    BR000082     0.0000     2.0849     -2.0849
                                          153    BR000352     3.4564    16.4500    -12.9936
                                          154    BR000956     5.0000     3.7125      1.2875
                                          155    BR002143    13.3000     2.7830     10.5170
                                          156    BR002554    11.4981    11.1597      0.3384
                                          157    BR002957      .         0.0000       .    
                                          158    BR00E3-0     9.5111     7.5250      1.9861
                                          159    BR037041     4.0061     2.4500      1.5561
                                          160    BR038484     3.7000    13.1731     -9.4731
                                          161    BR038837     6.5667     6.7893     -0.2227
                                          162    BR038983     6.4185     5.2933      1.1251
                                          163    BR047635      .         1.3722       .    
                                          164    BR057324      .         4.3905       .    
                                          165    BRM00082     1.2541     1.1276      0.1265
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   4

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          166    BRM00083     8.5947     6.3533     2.24133
                                          167    BUM00015    23.1084    16.8994     6.20903
                                          168    BXM00096     4.1010     1.8206     2.28036
                                          169    CA001011    20.0478    15.7483     4.29954
                                          170    CA001012    18.7400    13.5438     5.19618
                                          171    CA001013    19.0113    13.8393     5.17199
                                          172    CA001014    21.1307    16.5886     4.54205
                                          173    CA001015    20.2528    14.1024     6.15042
                                          174    CA001016    16.4218    12.2085     4.21334
                                          175    CA001017    16.7855    13.1669     3.61866
