                                                           The SAS System                        14:47 Tuesday, December 1, 2015   1

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff
                                          497    CA006119    29.4908    26.8298     2.66091
                                          498    CA00611B    31.1964    28.5579     2.63848
                                          499    CA00611E    30.3766    27.4581     2.91849
                                          500    CA006121    26.1536    26.8819    -0.72833
                                          501    CA006122    28.2490    28.3183    -0.06929
                                          502    CA006124    29.3750    28.6250     0.75000
                                          503    CA006126    31.1925    28.2833     2.90914
                                          504    CA006127    28.9330    28.9608    -0.02780
                                          505    CA006128    27.2518    27.2453     0.00653
                                          506    CA00612H     0.0000     0.0000     0.00000
                                          507    CA006130    30.8744    30.2485     0.62587
                                          508    CA006131    30.7772    26.9706     3.80662
                                          509    CA006132    29.2671    28.2999     0.96727
                                          510    CA006133    29.3677    28.0517     1.31605
                                          511    CA006134    27.2421    29.3949    -2.15276
                                          512    CA006135    28.2155    27.6751     0.54036
                                          513    CA006136    27.7783    27.0192     0.75912
                                          514    CA006137    28.5649    27.6490     0.91592
                                          515    CA006138    30.2297    26.5121     3.71758
                                          516    CA006139    28.7897    27.0227     1.76705
                                          517    CA00613F    26.0157    29.6148    -3.59907
                                          518    CA00613K    27.3205    29.7752    -2.45476
                                          519    CA00613P    28.4355    29.1795    -0.74404
                                          520    CA006142    30.6505    28.4948     2.15567
                                          521    CA006143    30.5800    28.6253     1.95465
                                          522    CA006144    31.1371    28.8240     2.31312
                                          523    CA006145    31.0674    28.3369     2.73048
                                          524    CA006147    30.8667    28.1444     2.72222
                                          525    CA006148    31.5697    29.3265     2.24319
                                          526    CA006149    32.4258    34.6758    -2.25000
                                          527    CA006150    29.0556    28.8151     0.24047
                                          528    CA006151    26.6464    27.3891    -0.74273
                                          529    CA006152    31.6313    31.7647    -0.13339
                                          530    CA006153    29.2624    27.5661     1.69626
                                          531    CA006155    28.6026    27.5170     1.08564
                                          532    CA006156    24.8711    26.5645    -1.69341
                                          533    CA006157     1.7172     1.1607     0.55645
                                          534    CA006158    28.6606    27.0271     1.63349
                                          535    CA006159    29.7406    27.6548     2.08576
                                          536    CA00615E    28.5000    27.4516     1.04839
                                          537    CA00615H    30.3065    28.2676     2.03882
                                          538    CA00615S    30.1344    27.3548     2.77957
                                          539    CA006161    30.2695    29.9250     0.34448
                                          540    CA006163    30.8403    30.0935     0.74677
                                          541    CA006166    29.9036    29.1804     0.72313
                                          542    CA00616I    30.7407    29.6893     1.05137
                                          543    CA007011    30.4583    30.9873    -0.52899
                                          544    CA007013    33.7559    32.8220     0.93389
                                          545    CA007014    31.9476    31.7204     0.22720
                                          546    CA007015    30.4431    30.3254     0.11774
                                          547    CA007016    31.5503    32.0710    -0.52072
                                          548    CA007017    32.5374    31.9607     0.57665
                                          549    CA007018    31.8815    31.8609     0.02065
                                          550    CA00701L    31.5206    32.9208    -1.40022
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  11

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          551    CA00701Q    32.1125    31.7106     0.40194
                                          552    CA00701S    32.3129    33.1113    -0.79839
                                          553    CA007020    30.6710    30.4397     0.23134
                                          554    CA007021    30.1177    29.9685     0.14914
                                          555    CA007022    30.4608    29.9834     0.47736
                                          556    CA007023    30.7757    29.6520     1.12378
                                          557    CA007024    30.3535    29.8596     0.49396
                                          558    CA007025    31.1015    29.7887     1.31275
                                          559    CA007026    30.1120    30.3170    -0.20496
                                          560    CA007027    30.9507    30.3503     0.60043
                                          561    CA007028    30.6869    30.3662     0.32068
                                          562    CA00702F    30.3114    31.1056    -0.79415
                                          563    CA00702L    30.7891    29.7654     1.02376
                                          564    CA00702S    31.1290    30.8387     0.29032
                                          565    CA007030    31.9972    33.2398    -1.24265
                                          566    CA007031    31.3023    31.9491    -0.64680
                                          567    CA007033    31.4607    31.5481    -0.08741
                                          568    CA007034    31.9567    31.1542     0.80244
                                          569    CA007035    30.2841    31.3101    -1.02600
                                          570    CA007036    33.1706    36.7007    -3.53002
                                          571    CA007037    31.0251    32.5397    -1.51455
                                          572    CA007038    32.5533    32.1552     0.39811
                                          573    CA00703G    31.6387    31.0516     0.58710
                                          574    CA007040    28.4582    28.6573    -0.19906
                                          575    CA007041    29.2913    29.4072    -0.11593
                                          576    CA007042    30.6131    29.3452     1.26784
                                          577    CA007043    26.0736    25.9890     0.08461
                                          578    CA007044    31.2200    34.2000    -2.98000
                                          579    CA007045    29.7529    31.8519    -2.09891
                                          580    CA007046    30.0089    27.7892     2.21966
                                          581    CA007047    32.5139    32.8465    -0.33260
                                          582    CA00704C    34.6387    36.8777    -2.23895
                                          583    CA00704F    28.1928    30.1297    -1.93692
                                          584    CA00704Q    30.3171    31.2111    -0.89395
                                          585    CA00704S    33.0139    33.5240    -0.51006
                                          586    CA007050    33.3613    32.1452     1.21613
                                          587    CA007051    28.8681    29.6419    -0.77386
                                          588    CA007053    29.8782    29.7866     0.09153
                                          589    CA007054    31.6964    29.7002     1.99620
                                          590    CA007055    31.5452    29.2903     2.25484
                                          591    CA007056    30.7745    29.1294     1.64502
                                          592    CA007057    33.0569    31.7898     1.26702
                                          593    CA00705L    24.6067    22.7767     1.83000
                                          594    CA00705S    27.9929    28.0433    -0.05048
                                          595    CA007060    33.2322    34.9862    -1.75394
                                          596    CA007061    35.2468    34.3741     0.87271
                                          597    CA007063    33.1141    34.2428    -1.12871
                                          598    CA007064    33.3089    34.2349    -0.92602
                                          599    CA007065    34.5426    35.8438    -1.30112
                                          600    CA007066    34.4053    35.3843    -0.97899
                                          601    CA007067    35.5862    36.3727    -0.78647
                                          602    CA00706I    37.3435    38.7099    -1.36638
                                          603    CA00706Q    35.7315    35.1722     0.55935
                                          604    CA007072    32.4161    33.5690    -1.15287
                                          605    CA007075    33.3324    34.0964    -0.76406
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  12

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          606    CA007077    30.5769    31.1675    -0.59061
                                          607    CA00707D    33.8419    34.0484    -0.20645
                                          608    CA007080    31.9708    30.9500     1.02080
                                          609    CA007085    34.5053    34.7970    -0.29171
                                          610    CA007086    34.7578    35.0645    -0.30667
                                          611    CA007091    37.0987    36.2154     0.88327
                                          612    CA007093    38.3067    36.9308     1.37585
                                          613    CA007094    36.3104    35.5891     0.72135
                                          614    CA007098    34.4755    34.1672     0.30827
                                          615    CA00709C    35.8323    35.7167     0.11563
                                          616    CA007103    34.3267    35.9633    -1.63667
                                          617    CA00710S    35.2406    36.2909    -1.05026
                                          618    CA007113    46.1333    41.5583     4.57500
                                          619    CA007115    40.2933    37.9323     2.36106
                                          620    CA007116    40.4645    40.8226    -0.35806
                                          621    CA007117    37.7102    39.2204    -1.51020
                                          622    CA008100    31.1852    30.4955     0.68968
                                          623    CA008101    28.3916    28.1401     0.25145
                                          624    CA008102    29.5092    28.8799     0.62926
                                          625    CA008103    28.8678    27.9541     0.91366
                                          626    CA008104    27.0511    26.3621     0.68901
                                          627    CA008105    32.4822    30.7911     1.69111
                                          628    CA00810I    32.0000    30.4356     1.56440
                                          629    CA008200    21.2337    20.8759     0.35781
                                          630    CA008201    26.5417    24.8886     1.65310
                                          631    CA008202    26.2657    24.1446     2.12112
                                          632    CA008203    28.4166    26.6953     1.72124
                                          633    CA008204    24.5927    23.8584     0.73423
                                          634    CA008205    26.9014    25.3598     1.54158
                                          635    CA008206    21.6711    20.8129     0.85823
                                          636    CA008300    28.8075    27.9008     0.90669
                                          637    CA00830P    29.0918    28.1355     0.95634
                                          638    CA008400    25.5259    23.9960     1.52987
                                          639    CA008401    28.9131    27.6696     1.24345
                                          640    CA008402    27.4167    27.3448     0.07198
                                          641    CA008403    27.3865    25.9386     1.44796
                                          642    CA008404    27.5641    26.9484     0.61568
                                          643    CA00840B    27.5388    25.1852     2.35357
                                          644    CA00840C     0.0000     0.0000     0.00000
                                          645    CA00840K    21.9627    22.5484    -0.58566
                                          646    CA008500    33.6306    31.2013     2.42929
                                          647    CA008501    33.5665    33.7049    -0.13841
                                          648    CA008502    30.9990    30.2688     0.73019
                                          649    CA008503    32.3411    29.6246     2.71648
                                          650    CA008504    36.9209    36.7869     0.13399
                                          651    CAW00064    30.4851    27.4677     3.01731
                                          652    CBM00048     0.0000     7.0676    -7.06762
                                          653    CD000004     9.3437     9.8538    -0.51007
                                          654    CD000064      .        10.9487      .     
                                          655    CE000043     4.5188     3.4167     1.10208
                                          656    CE000434     4.3862     4.6233    -0.23713
                                          657    CEM00043     4.2198     4.5194    -0.29953
                                          658    CF000004     4.4407     3.0778     1.36283
                                          659    CF000064     2.5913     0.8681     1.72325
                                          660    CFM00064     4.9201     2.3722     2.54792
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  13

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          661    CGM00064     5.2517     6.3480    -1.09633
                                          662    CHM00050    41.2765    44.1634    -2.88692
                                          663    CHM00051    35.5224    33.0488     2.47361
                                          664    CHM00052    28.2332    28.8513    -0.61808
                                          665    CHM00053    31.2557    31.1405     0.11520
                                          666    CHM00054    32.0029    32.2828    -0.27996
                                          667    CHM00055    18.8640    22.9186    -4.05454
                                          668    CHM00056    13.9165    19.0331    -5.11664
                                          669    CHM00057    24.1597    21.8101     2.34959
                                          670    CHM00058    22.5611    23.2530    -0.69187
                                          671    CHM00059    14.4351    15.1890    -0.75389
                                          672    CI000085    10.0573     5.9059     4.15144
                                          673    CIM00085    13.2396     6.1012     7.13835
                                          674    CJW00011     3.8876     3.9564    -0.06883
                                          675    CK000096     2.9758     1.7210     1.25488
                                          676    CM000004     6.1341     1.9764     4.15764
                                          677    CM000064     7.3973     8.7509    -1.35362
                                          678    CMM00064     8.6210     9.2904    -0.66938
                                          679    CO000080     1.6053     2.1057    -0.50035
                                          680    COM00080     1.7571     1.0206     0.73651
                                          681    CQC00914     1.7984     1.8834    -0.08507
                                          682    CS000078     4.8940     3.6280     1.26603
                                          683    CS000081     1.3171     3.1838    -1.86670
                                          684    CSM00078     2.8371     1.9571     0.87999
                                          685    CT000004     4.4241     3.5338     0.89024
                                          686    CTM00064     6.7070     3.3341     3.37283
                                          687    CUM00078     5.0227     4.7182     0.30444
                                          688    CUW00011     3.8538     4.7847    -0.93090
                                          689    CVM00008     6.1897     6.5791    -0.38942
                                          690    CWM00091     7.1533     5.9227     1.23066
                                          691    CY000176    14.2261    14.8271    -0.60106
                                          692    DA000032    19.2889    17.2080     2.08087
                                          693    DAM00006    13.5610    11.1454     2.41565
                                          694    DRM00078     2.8440     3.3833    -0.53925
                                          695    EC000000     2.2593     2.2303     0.02900
                                          696    ECM00084     2.0099     1.3873     0.62259
                                          697    EG000062    14.7490    15.5744    -0.82539
                                          698    EGM00062    14.4308    15.6875    -1.25672
                                          699    EI000003    10.9014     9.5118     1.38954
                                          700    EIE00107    12.0062    10.5218     1.48433
                                          701    EIM00003    11.4426     9.5152     1.92738
                                          702    EKM00064     2.4091     1.2150     1.19409
                                          703    EN000026    29.0716    23.4272     5.64440
                                          704    ENE00100    25.3065    20.9613     4.34516
                                          705    ES000078     3.4765     2.9429     0.53361
                                          706    ES003800     3.2181     3.4023    -0.18422
                                          707    ET000063     5.0470     4.6513     0.39567
                                          708    EUM00061     6.2399     7.0354    -0.79545
                                          709    EZ000011    23.4400    16.5234     6.91663
                                          710    EZM00011    21.5284    15.8053     5.72310
                                          711    FG000081     4.1004     2.8814     1.21892
                                          712    FGM00081     4.3072     1.0289     3.27829
                                          713    FI000000    28.1677    23.6419     4.52581
                                          714    FI000002    31.5048    24.4258     7.07903
                                          715    FI000007    34.3581    31.3097     3.04839
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  14

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          716    FIE00141    24.0839    20.4586     3.62527
                                          717    FIE00142    28.6218    23.7988     4.82300
                                          718    FIE00143    31.2879    25.0956     6.19226
                                          719    FIE00144    31.5333    25.8878     5.64549
                                          720    FIE00145    31.2194    25.7385     5.48092
                                          721    FIE00146    32.5882    29.6034     2.98477
                                          722    FIM00002    32.2662    31.6510     0.61528
                                          723    FJ000091     3.7442     4.4841    -0.73991
                                          724    FJM00091     6.1217     6.0901     0.03153
                                          725    FKM00088    13.7217     6.7555     6.96626
                                          726    FMC00914     0.4858     1.8823    -1.39654
                                          727    FMW00040     1.9571     1.0903     0.86682
                                          728    FP000091     3.6882     3.1687     0.51950
                                          729    FPM00091     3.8724     3.6635     0.20888
                                          730    FR000007    16.2309    12.7211     3.50976
                                          731    FR069029    19.1165    13.1614     5.95501
                                          732    FRE00104    13.1807    10.8601     2.32063
                                          733    FRM00007    14.9094    11.8083     3.10114
                                          734    FRM00061    11.3289     7.7250     3.60393
                                          735    FSM00061     5.2121     5.6868    -0.47466
                                          736    GAM00061     3.7175     8.2689    -4.55134
                                          737    GB000004     6.0048     4.3364     1.66848
                                          738    GBM00064     4.7322     2.5403     2.19189
                                          739    GG000037    26.1779    21.9789     4.19909
                                          740    GHM00065     6.6850     2.0960     4.58898
                                          741    GIM00008    11.9724     9.3110     2.66146
                                          742    GL000004    19.3449    19.8972    -0.55235
                                          743    GLE00146    22.8699    22.2664     0.60354
                                          744    GLE00147    21.7641    21.0071     0.75693
                                          745    GLM00004    16.2024    16.8366    -0.63416
                                          746    GLW00017    26.2286    30.3482    -4.11966
                                          747    GM000001    20.8290    14.7968     6.03226
                                          748    GM000002    20.4226    13.1194     7.30323
                                          749    GM000003    23.3043    16.8000     6.50430
                                          750    GM000004    18.3524    13.8145     4.53790
                                          751    GM000010    20.0882    15.4043     4.68387
                                          752    GME00102    19.8581    14.8181     5.03992
                                          753    GME00111    19.9919    14.4584     5.53353
                                          754    GME00114    18.1065    15.5581     2.54839
                                          755    GME00115    18.8581    13.6839     5.17419
                                          756    GME00120    19.0396    14.2673     4.77235
                                          757    GME00121    19.4173    14.7080     4.70932
                                          758    GMW00034    20.2000    13.8323     6.36774
                                          759    GMW00035    20.6452    14.8484     5.79677
                                          760    GP000078     3.0490     5.2282    -2.17925
                                          761    GQW00041     2.0419     2.5988    -0.55687
                                          762    GR000016     8.6000    13.0345    -4.43446
                                          763    GR000167     6.4000    13.9255    -7.52549
                                          764    GRM00016    15.1549    14.4473     0.70756
                                          765    GV000001     4.6413     2.2633     2.37793
                                          766    GYM00081     2.6616     1.0699     1.59169
                                          767    GYW00010     3.5167     1.6722     1.84449
                                          768    HO000078     4.6101     4.4891     0.12099
                                          769    HOM00078     4.9756     4.0537     0.92191
                                          770    HR000142    20.1374    14.5970     5.54038
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  15

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                          771    HRE00105    16.1422    13.6303      2.5119
                                          772    HRM00014    19.1467    15.6640      3.4826
                                          773    HU000012    22.1199    16.3049      5.8150
                                          774    HUM00012    22.1205    16.3352      5.7853
                                          775    IC000004    11.1882    11.3323     -0.1441
                                          776    ICM00004    11.6013    13.2523     -1.6510
                                          777    ICW00016    11.1431    14.0610     -2.9178
                                          778    ID000096     3.8140     1.6709      2.1431
                                          779    ID000097     3.7377     2.4225      1.3151
                                          780    IDM00096     2.4179     1.1734      1.2445
                                          781    IDM00097     2.0130     2.0396     -0.0265
                                          782    IN001020     9.7961     7.5958      2.2003
                                          783    IN001050     8.0847     9.3514     -1.2667
                                          784    IN001080     9.9167    10.5714     -0.6548
                                          785    IN001090    11.3482    14.5975     -3.2493
                                          786    IN001111    10.3148     9.6891      0.6258
                                          787    IN001120     9.6523     8.7478      0.9044
                                          788    IN001160    10.7586     7.9446      2.8141
                                          789    IN001190     7.7451    10.7971     -3.0520
                                          790    IN003020     9.0610    13.6250     -4.5640
                                          791    IN003041    10.3060    14.0000     -3.6940
                                          792    IN003050     8.2992    15.1167     -6.8174
                                          793    IN004011    20.7804      .           .    
                                          794    IN004051    18.1999    18.7333     -0.5335
                                          795    IN004091    16.3933    18.2000     -1.8067
                                          796    IN004102    19.7478    19.9500     -0.2022
                                          797    IN004122    12.5259    14.6000     -2.0741
                                          798    IN005010    14.0300    11.3333      2.6967
                                          799    IN005100     6.0205    11.5667     -5.5462
                                          800    IN005120    13.4547    14.9000     -1.4453
                                          801    IN005150    13.9004     7.2333      6.6671
                                          802    IN005171     7.2348    12.4333     -5.1985
                                          803    IN006031    22.9798    22.3104      0.6694
                                          804    IN008010    24.9331    21.8874      3.0457
                                          805    IN009010     7.7233     6.7714      0.9519
                                          806    IN009012     7.5580     5.8689      1.6891
                                          807    IN009021     9.6433     6.8303      2.8130
                                          808    IN009070     9.3767     6.0544      3.3223
                                          809    IN009090     8.8040     7.0125      1.7915
                                          810    IN009120     5.7267     4.9879      0.7388
                                          811    IN009130     6.5732     3.5847      2.9885
                                          812    IN010050     5.1847     3.3452      1.8395
                                          813    IN010100     3.7933     2.8288      0.9645
                                          814    IN011020     9.6625     7.7000      1.9625
                                          815    IN011060    13.3076    15.9583     -2.6507
                                          816    IN011140    19.7291    18.4000      1.3291
                                          817    IN011150    22.9216    20.3003      2.6212
                                          818    IN011170    15.6760    12.7000      2.9760
                                          819    IN011180    16.9483    18.8000     -1.8517
                                          820    IN011340    19.8801     2.4000     17.4801
                                          821    IN011351    17.3833     6.2000     11.1833
                                          822    IN012020    11.4906    20.6000     -9.1094
                                          823    IN012041    10.6958    10.0500      0.6458
                                          824    IN012070     4.5923     6.6500     -2.0577
                                          825    IN012141    15.5333    20.1000     -4.5667
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  16

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                          826    IN012190     9.7708    14.0000     -4.2292
                                          827    IN012201     5.3103     7.0000     -1.6897
                                          828    IN012230     9.2770     5.9667      3.3103
                                          829    IN013010     7.5126    14.6000     -7.0874
                                          830    IN017010    10.3563    13.1000     -2.7437
                                          831    IN017111    12.5857    15.2000     -2.6143
                                          832    IN017121    12.2475    14.6000     -2.3525
                                          833    IN018103    22.7310    20.3340      2.3970
                                          834    IN019040    18.7197     0.0000     18.7197
                                          835    IN019070    19.8933    23.3810     -3.4877
                                          836    IN019120    22.8574     0.0000     22.8574
                                          837    IN019131    21.6112    22.0435     -0.4322
                                          838    IN019140    19.8110    20.3926     -0.5816
                                          839    IN019180    16.9700    20.5030     -3.5330
                                          840    IN019191    23.1526    19.8505      3.3021
                                          841    IN019261    17.2693     0.0000     17.2693
                                          842    IN020020     8.4781     5.8992      2.5789
                                          843    IN020031     7.4050     5.0589      2.3461
                                          844    IN020040     9.4275     6.5476      2.8799
                                          845    IN020100     5.7850     4.4297      1.3553
                                          846    IN020120     9.6277     4.9809      4.6468
                                          847    IN020130     9.8692     5.9929      3.8764
                                          848    IN021010    10.2266    14.8000     -4.5734
                                          849    IN022021    21.5247    20.0226      1.5021
                                          850    IN022030     5.0103     4.7000      0.3103
                                          851    IN022043     9.3609     4.3536      5.0074
                                          852    IN023101    22.6033    18.1467      4.4567
                                          853    IN023160    15.4300    17.2153     -1.7853
                                          854    IN023261    19.6323    16.3898      3.2425
                                          855    IN023351    21.2667    18.9095      2.3571
                                          856    IN023550    20.8530      .           .    
                                          857    IN024059     0.0000     0.0000      0.0000
                                          858    IN024141    13.6333    15.6000     -1.9667
                                          859    IN025010     2.8755     2.8452      0.0304
                                          860    IN099990     5.2179     3.0999      2.1180
                                          861    IN099999     4.4836     4.8750     -0.3914
                                          862    INM00042    22.4049    22.1365      0.2685
                                          863    IR000040    26.8404    23.2114      3.6290
                                          864    IR000407    28.9357    22.8036      6.1321
                                          865    IR000408    21.8565    19.5899      2.2667
                                          866    IRM00040    27.3471    24.0000      3.3472
                                          867    IS000004    17.5437    13.1784      4.3652
                                          868    IS000009    19.2242    16.6117      2.6125
                                          869    ISE00105    12.3910    15.9731     -3.5821
                                          870    ISM00040    14.1463    14.8993     -0.7530
                                          871    IT000016    15.1963    13.3993      1.7970
                                          872    IT000160    13.8986    11.6500      2.2486
                                          873    IT000162    16.4636    13.1054      3.3582
                                          874    ITM00016    15.2021    12.8541      2.3480
                                          875    ITW00033    17.8296    14.6608      3.1688
                                          876    IV000005     4.8504     1.8661      2.9843
                                          877    IV000065     4.7957     1.6197      3.1761
                                          878    IVM00065     5.3957     2.3328      3.0629
                                          879    IZ000040    30.7296    22.2282      8.5014
                                          880    JA000047    21.2862    23.2263     -1.9400
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  17

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          881    JAM00047    14.3993    15.2299    -0.83063
                                          882    JAW00042    11.3305    11.3847    -0.05421
                                          883    JM000078     4.0556     2.9661     1.08944
                                          884    JMM00078     2.4425     3.5150    -1.07247
                                          885    JOM00040    19.9628    16.6565     3.30629
                                          886    JUM00061     3.6658     3.0712     0.59457
                                          887    KE000063     5.1292     2.9540     2.17520
                                          888    KG000036    30.0747    29.1686     0.90605
                                          889    KG000038    32.1739    27.7965     4.37741
                                          890    KNM00047    30.8579    31.5230    -0.66508
                                          891    KR000091     1.6131     1.4688     0.14435
                                          892    KS000047    23.5024    24.7938    -1.29145
                                          893    KSM00047    24.1045    25.8784    -1.77383
                                          894    KT000096     1.0055     2.2800    -1.27455
                                          895    KU000405    28.2949    23.3291     4.96581
                                          896    KZ000028    41.2860    38.8433     2.44268
                                          897    KZ000029    44.4069    39.0812     5.32574
                                          898    KZ000034    41.1739    34.6258     6.54815
                                          899    KZ000035    45.0343    38.7614     6.27285
                                          900    KZ000036    40.8837    38.1750     2.70876
                                          901    KZ000038    37.7718    32.2006     5.57113
                                          902    KZM00035    46.1934    38.8570     7.33640
                                          903    LAM00048     7.9537    11.0423    -3.08856
                                          904    LAW00041     6.8071    13.4267    -6.61952
                                          905    LEM00040    15.3562    15.1681     0.18809
                                          906    LG000026    29.9334    23.8037     6.12972
                                          907    LH000026    31.4407    24.0227     7.41795
                                          908    LO000011    22.6977    16.1754     6.52233
                                          909    LOE00105    22.8818    15.8606     7.02116
                                          910    LOE00116    22.4121    16.8413     5.57085
                                          911    LOM00011    22.9230    14.8991     8.02395
                                          912    LU000006    19.8484    14.1194     5.72903
                                          913    LY000062    18.5877    19.4563    -0.86859
                                          914    LYE00147    15.0494    14.1907     0.85862
                                          915    LYM00062    19.9667    15.5936     4.37308
                                          916    MA000067     5.2039     5.0406     0.16325
                                          917    MAM00067     4.9031     5.8543    -0.95113
                                          918    MCM00045    14.1069    14.9917    -0.88481
                                          919    MD000033    27.3138    23.4317     3.88205
                                          920    MFM00067     3.0668     3.8024    -0.73555
                                          921    MG000044    37.5296    37.2381     0.29150
                                          922    MGM00044    36.8430    37.2922    -0.44917
                                          923    MI000067     0.0000     7.6762    -7.67619
                                          924    MJM00013    19.6166    13.9003     5.71626
                                          925    MK000013    18.7744    12.4301     6.34434
                                          926    MKE00100    22.8255    16.4350     6.39055
                                          927    MKM00013    24.8493    16.4107     8.43867
                                          928    ML000061     9.4857     8.4090     1.07669
                                          929    MLM00061     9.7542     9.6968     0.05737
                                          930    MO000060    20.0909    15.5682     4.52274
                                          931    MOE00147    16.1880    13.0433     3.14463
                                          932    MOM00060    13.8237    11.7064     2.11733
                                          933    MP000061     4.9725     4.0654     0.90707
                                          934    MR000001    12.2125    12.6479    -0.43546
                                          935    MR000061    11.2321    11.0914     0.14072
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  18

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          936    MRM00061    14.3910    10.6720     3.71899
                                          937    MT000016    14.9153    12.4499     2.46548
                                          938    MU000041    13.8765    12.6159     1.26063
                                          939    MUM00041    16.4734    14.5267     1.94660
                                          940    MV000043     1.8524     2.4220    -0.56962
                                          941    MX000003    10.6543    15.4896    -4.83530
                                          942    MX000005    15.3006    19.6164    -4.31573
                                          943    MX000008    16.6079    20.2798    -3.67183
                                          944    MX000014     8.2844    10.9401    -2.65565
                                          945    MX000016     6.3836     9.1000    -2.71638
                                          946    MX000017     6.4248     5.0333     1.39145
                                          947    MX000023     7.4341     7.2552     0.17887
                                          948    MX000025    11.0269    15.9423    -4.91538
                                          949    MX000028    14.0209    15.3110    -1.29007
                                          950    MX000029     7.5406     7.6880    -0.14744
                                          951    MX000076     6.2545     8.1825    -1.92799
                                          952    MX000766     6.0410     6.4964    -0.45536
                                          953    MX000768     5.3627     5.2400     0.12273
                                          954    MXM00076     6.4331     8.8138    -2.38073
                                          955    MY000048     1.6000     2.5532    -0.95319
                                          956    MY000096     2.7000     1.6299     1.07010
                                          957    MYM00048     1.8667     2.1749    -0.30824
