"","STATE","N1910wp","N1920wp","N1930wp","N1940wp","N1950wp","N1960wp","N1970wp","N1980wp","N1990wp","N2000wp","N2010wp","np1910p","np1920p","np1930p","np1940p","np1950p","np1960p","np1970p","np1980p","np1990p","np2000p","np2010p","ratio1910","ratio1920","ratio1930","ratio1940","ratio1950","ratio1960","ratio1970","ratio1980","ratio1990","ratio2000","ratio2010"
"11","Georgia",0.0282897489730289,0.0273136202505723,0.023607500437653,0.0236351014771591,0.0227626620544899,0.0219888812475019,0.0225851655970231,0.0241147921498701,0.0260472812030265,0.0290896082553005,0.031377467226749,0.00749387519815535,0.00810025981965459,0.00749387519815535,0.00810025981965459,0.00749387519815535,0.00810025981965459,0.00749387519815535,0.00810025981965459,0.00749387519815535,0.00810025981965459,NA,0.264897196694814,0.296564854652868,0.317436198632996,0.342721601067914,0.329217873560496,0.368379806524938,0.331805191596342,0.33590419396164,0.287702779408878,0.278458882930423,NA
"12","Hawaii",0.00208041991707205,0.00241348132879832,0.00298938438194303,0.00319881495622325,0.003302767978795,0.00352866828283628,0.0037820664127754,0.00425826026661584,0.00445591076314047,0.0043050557691838,0.0044058968716173,0.00100879089205937,0.00183402109124255,0.00100879089205937,0.00183402109124255,0.00100879089205937,0.00183402109124255,0.00100879089205937,0.00183402109124255,0.00100879089205937,0.00183402109124255,NA,0.484897728473553,0.759906890249577,0.337457738172728,0.573343915275401,0.30543801397379,0.51974879593057,0.266730084022795,0.430697274570325,0.226393872248104,0.426015640580253,NA
"13","Idaho",0.00353029718710798,0.00407337992091173,0.00361219579219352,0.00397135937393327,0.00388986549405145,0.00372060666447602,0.00350652156114105,0.00416664082568203,0.00404788514366697,0.00459791143621918,0.00507726203965416,0.00201758178411875,0.00221610881858475,0.00201758178411875,0.00221610881858475,0.00201758178411875,0.00221610881858475,0.00201758178411875,0.00221610881858475,0.00201758178411875,0.00221610881858475,NA,0.571504798940611,0.544046679075475,0.558547182984665,0.558022734766986,0.518676490794893,0.595631040427878,0.575379831248553,0.531869415027391,0.498428614575518,0.481981623466639,NA
"14","Illinois",0.0611371890960902,0.061169458428055,0.0619358074711136,0.0597530870773694,0.0575723116292438,0.0562178201451095,0.0546915538805533,0.0504380030343091,0.0459595827946887,0.0441305127114021,0.0415573034127541,0.0278858625162127,0.0286565795506648,0.0278858625162127,0.0286565795506648,0.0278858625162127,0.0286565795506648,0.0278858625162127,0.0286565795506648,0.0278858625162127,0.0286565795506648,NA,0.456119473736094,0.468478555918057,0.450238136141496,0.47958324753263,0.484362391001304,0.509741919496281,0.509875118507615,0.568154522913446,0.606747512064782,0.649359769238774,NA
"15","Indiana",0.0292846150283097,0.0276395728916852,0.026285990467216,0.0259358164289856,0.0259983694254168,0.0260005322792216,0.0255578946680521,0.0242344986260063,0.0222916723535137,0.0216062959931769,0.0210004719161318,0.00871883556708459,0.00756533700137552,0.00871883556708459,0.00756533700137552,0.00871883556708459,0.00756533700137552,0.00871883556708459,0.00756533700137552,0.00871883556708459,0.00756533700137552,NA,0.297727511823393,0.273713961898861,0.331691346307029,0.291694576960399,0.335360861460827,0.290968543264069,0.341140601771997,0.312172210291038,0.391125234070215,0.350145022717665,NA
"16","Iowa",0.0241223818720843,0.0226748363400919,0.0200558958874123,0.0192053590399103,0.0173207280889409,0.0153774714283304,0.0138986724627569,0.0128618934259233,0.011164635189211,0.0103983518610666,0.00986687943648922,0.0074218187058654,0.00611340363747516,0.0074218187058654,0.00611340363747516,0.0074218187058654,0.00611340363747516,0.0074218187058654,0.00611340363747516,0.0074218187058654,0.00611340363747516,NA,0.30767354340138,0.26961180869323,0.370056702903188,0.31831759170818,0.428493459845037,0.397555844338117,0.533994791643088,0.475311327425053,0.664761416748978,0.587920443466133,NA
"17","Kansas",0.0183343443007029,0.0166877131766162,0.015267523847544,0.0136271620573287,0.0125907084263319,0.012149076660058,0.0110553452458297,0.010433558899932,0.00996170345034915,0.00955298057003423,0.00924100156550279,0.00569246289090647,0.00664832645575424,0.00569246289090647,0.00664832645575424,0.00569246289090647,0.00664832645575424,0.00569246289090647,0.00664832645575424,0.00569246289090647,0.00664832645575424,NA,0.310480854812366,0.398396495996244,0.372847813944773,0.487873148333094,0.452116171557225,0.547228949308688,0.514905935936626,0.637206011823786,0.571434686776081,0.695942633507358,NA
"18","Kentucky",0.0248286061175713,0.0227937650064439,0.0212218613136032,0.0215309369336346,0.0194600394573832,0.0169423500336752,0.0158391589674712,0.0161591030123025,0.0148176506044857,0.0143619558883948,0.0140548330774581,0.00374693759907768,0.00458505272810637,0.00374693759907768,0.00458505272810637,0.00374693759907768,0.00458505272810637,0.00374693759907768,0.00458505272810637,0.00374693759907768,0.00458505272810637,NA,0.150912120532854,0.201153812317103,0.176560271679652,0.212951844234137,0.192545221055864,0.270626726457249,0.23656165120716,0.283744260100057,0.252869884645774,0.319249882379275,NA
"19","Louisiana",0.0179596119620123,0.0169636193823525,0.0170580214265566,0.0178858828647185,0.0177333675782103,0.0181628615487095,0.0179187613230928,0.0185653404617225,0.0169674526752704,0.0158799862580705,0.0146831984337859,0.00763798818273526,0.0103163686382393,0.00763798818273526,0.0103163686382393,0.00763798818273526,0.0103163686382393,0.00763798818273526,0.0103163686382393,0.00763798818273526,0.0103163686382393,NA,0.425286927072307,0.608146669983153,0.447765188689712,0.576788337275164,0.430712787576815,0.567992472473168,0.426256483080212,0.555678936215005,0.450155266610375,0.649645942419904,NA
"20","Maine",0.0080492584417727,0.00724394327541205,0.00647245143090459,0.00641038673534357,0.00603845485751213,0.00540512959353971,0.00488183946448104,0.00496438236850159,0.00493719041061148,0.00453029054532805,0.00430244598385095,0.00100879089205937,0.00175760354577411,0.00100879089205937,0.00175760354577411,0.00100879089205937,0.00175760354577411,0.00100879089205937,0.00175760354577411,0.00100879089205937,0.00175760354577411,NA,0.1253271837843,0.242630771521901,0.155859167554755,0.274180578853939,0.167061096897063,0.325173247996648,0.206641553742,0.35404274193823,0.204324890911881,0.387967069261523,NA
